id,name,wikipedia_url,occupation,birth_year,birth_month,birth_day,birth_hour,birth_minute,birth_location,unknown_time,sun_sign_sidereal,sun_sign_tropical,moon_sign_sidereal,moon_sign_tropical,life_path_number,day_number,chinese_zodiac_animal,page_views,created_at,updated_at,has_chart_data_json,has_planetary_placements_json,has_top_aspects_json
1,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,a German-born theoretical physicist best known for developing the theory of relativity,1879,3,14,,,"Ulm, Kingdom of Württemberg, German Empire",True,Pisces,Pisces,Ophiuchus,Sagittarius,33/6,5,Rabbit,4506594,2025-12-10 07:21:59,2025-12-11 01:24:35,Yes,Yes,Yes
2,Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,a Polish and naturalised-French physicist and chemist who conducted pioneering research on radioacti,1867,11,7,,,"Warsaw, Congress Poland, Russian Empire",True,Libra,Scorpio,Aquarius,Pisces,4,7,Rabbit,2297495,2025-12-10 07:21:59,2025-12-11 01:24:35,Yes,Yes,Yes
3,Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,"active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect",1452,4,15,,,possibly Anchiano,True,Aries,Aries,Libra,Scorpio,22/4,6,Monkey,2506119,2025-12-10 07:21:59,2025-12-11 01:24:35,Yes,Yes,Yes
4,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,{{hlist,1564,4,23,,,"Stratford-upon-Avon, Warwickshire, England",True,Aries,Taurus,Taurus,Gemini,7,5,Rat,3618704,2025-12-10 07:21:59,2025-12-11 01:24:35,Yes,Yes,Yes
5,Dale Frail,https://en.wikipedia.org/wiki/Dale_Frail,,1961,1,1,,,Canada,True,Sagittarius,Capricorn,Gemini,Cancer,1,1,Rat,1641,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
6,Shaherose Charania,https://en.wikipedia.org/wiki/Shaherose_Charania,,1901,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Taurus,4,1,Rat,87,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
7,Sat-Okh,https://en.wikipedia.org/wiki/Sat-Okh,,1920,4,15,,,Canada,True,Pisces,Aries,Aquarius,Pisces,22/4,6,Monkey,3937,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
8,Peter Scheerer,https://en.wikipedia.org/wiki/Peter_Scheerer,,1973,12,16,,,Canada,True,Ophiuchus,Sagittarius,Leo,Virgo,3,7,Ox,1066,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
9,David G. Lowe,https://en.wikipedia.org/wiki/David_G._Lowe,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,2764,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
10,Herb Sutter,https://en.wikipedia.org/wiki/Herb_Sutter,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,12188,2025-12-10 19:08:48,2025-12-11 01:24:35,Yes,Yes,Yes
11,Rene Ohashi,https://en.wikipedia.org/wiki/Rene_Ohashi,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,1325,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
12,Martin Wood,https://en.wikipedia.org/wiki/Martin_Wood,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,241,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
13,Matt Keith,https://en.wikipedia.org/wiki/Matt_Keith,,1983,4,11,,,Canada,True,Pisces,Aries,Pisces,Pisces,9,2,Pig,1168,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
14,Kate Vernon,https://en.wikipedia.org/wiki/Kate_Vernon,,1961,4,21,,,Canada,True,Aries,Taurus,Gemini,Cancer,6,3,Ox,282158,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
15,Roxanne Kernohan,https://en.wikipedia.org/wiki/Roxanne_Kernohan,,1960,3,20,,,Canada,True,Pisces,Pisces,Sagittarius,Capricorn,3,2,Rat,22413,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
16,Barry Pederson,https://en.wikipedia.org/wiki/Barry_Pederson,,1961,3,13,,,Canada,True,Pisces,Pisces,Capricorn,Aquarius,6,4,Ox,10635,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
17,Reuben Epp,https://en.wikipedia.org/wiki/Reuben_Epp,,1920,1,1,,,Canada,True,Sagittarius,Capricorn,Aries,Taurus,5,1,Goat,410,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
18,Wendy McElroy,https://en.wikipedia.org/wiki/Wendy_McElroy,,1951,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Libra,9,1,Tiger,6969,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
19,Terri Tatchell,https://en.wikipedia.org/wiki/Terri_Tatchell,,1978,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Virgo,9,1,Snake,34639,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
20,Keri Smith,https://en.wikipedia.org/wiki/Keri_Smith,,1973,1,1,,,Canada,True,Sagittarius,Capricorn,Scorpio,Sagittarius,22/4,1,Rat,5931,2025-12-10 19:08:48,2025-12-11 01:24:40,Yes,Yes,Yes
21,Lucy Walker,https://en.wikipedia.org/wiki/Lucy_Walker,,1836,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,2,1,Goat,583,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
22,Makyla Smith,https://en.wikipedia.org/wiki/Makyla_Smith,,1982,1,1,,,Canada,True,Sagittarius,Capricorn,Pisces,Pisces,22/4,1,Rooster,11186,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
23,Andreas Apergis,https://en.wikipedia.org/wiki/Andreas_Apergis,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,0,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
24,Rob Pike,https://en.wikipedia.org/wiki/Rob_Pike,,1956,1,1,,,Canada,True,Sagittarius,Capricorn,Leo,Leo,5,1,Goat,66293,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
25,André Gingras,https://en.wikipedia.org/wiki/André_Gingras,,1966,11,16,,,Canada,True,Libra,Scorpio,Sagittarius,Capricorn,4,7,Horse,255,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
26,Michael Reed,https://en.wikipedia.org/wiki/Michael_Reed,,1929,7,7,,,Canada,True,Gemini,Cancer,Gemini,Cancer,8,7,Snake,1151,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
27,Daniel Petrie,https://en.wikipedia.org/wiki/Daniel_Petrie,,1951,11,30,,,Canada,True,Scorpio,Sagittarius,Sagittarius,Sagittarius,3,3,Rabbit,17254,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
28,David James Elliott,https://en.wikipedia.org/wiki/David_James_Elliott,,1960,9,21,,,Canada,True,Virgo,Virgo,Virgo,Libra,1,3,Rat,361007,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
29,Elza Kephart,https://en.wikipedia.org/wiki/Elza_Kephart,,1976,5,27,,,Canada,True,Taurus,Gemini,Aries,Taurus,1,9,Dragon,1267,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
30,Isaiah L. Kenen,https://en.wikipedia.org/wiki/Isaiah_L._Kenen,,1905,3,7,,,Canada,True,Aquarius,Pisces,Pisces,Aries,7,7,Snake,47013,2025-12-10 19:08:48,2025-12-11 01:24:46,Yes,Yes,Yes
31,Jack Wetherall,https://en.wikipedia.org/wiki/Jack_Wetherall,,1950,8,5,,,Canada,True,Cancer,Leo,Aries,Taurus,1,5,Tiger,8579,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
32,Paul Moller,https://en.wikipedia.org/wiki/Paul_Moller,,1936,12,11,,,Canada,True,Ophiuchus,Sagittarius,Libra,Scorpio,6,2,Rat,4895,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
33,Christopher G. Moore,https://en.wikipedia.org/wiki/Christopher_G._Moore,,1946,7,8,,,Canada,True,Gemini,Cancer,Virgo,Scorpio,8,8,Dog,2118,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
34,John Draper,https://en.wikipedia.org/wiki/John_Draper,,1943,3,11,,,Canada,True,Pisces,Pisces,Taurus,Taurus,22/4,2,Goat,67533,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
35,Joyce Cheng,https://en.wikipedia.org/wiki/Joyce_Cheng,,1987,5,30,,,Canada,True,Taurus,Gemini,Gemini,Cancer,33/6,3,Rabbit,26885,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
36,Andy Mikita,https://en.wikipedia.org/wiki/Andy_Mikita,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,4,1,Rabbit,4147,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
37,Basil H. Johnston,https://en.wikipedia.org/wiki/Basil_H._Johnston,,1929,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Virgo,5,1,Dragon,5398,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
38,Betty Chandler,https://en.wikipedia.org/wiki/Betty_Chandler,,1915,5,6,,,Canada,True,Aries,Taurus,Capricorn,Aquarius,9,6,Rabbit,0,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
39,Billy Bishop,https://en.wikipedia.org/wiki/Billy_Bishop,,1906,8,24,,,Canada,True,Leo,Virgo,Virgo,Libra,3,6,Horse,62189,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
40,Bob Chaperon,https://en.wikipedia.org/wiki/Bob_Chaperon,,1958,5,18,,,Canada,True,Taurus,Taurus,Taurus,Taurus,1,9,Dog,2370,2025-12-10 19:08:48,2025-12-11 01:24:52,Yes,Yes,Yes
41,Bob Laycock,https://en.wikipedia.org/wiki/Bob_Laycock,,1956,9,28,,,Canada,True,Virgo,Libra,Gemini,Cancer,4,1,Monkey,0,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
42,Sophie Traub,https://en.wikipedia.org/wiki/Sophie_Traub,,1988,11,30,,,Canada,True,Scorpio,Sagittarius,Leo,Virgo,4,3,Dragon,4441,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
43,Geoff Ryman,https://en.wikipedia.org/wiki/Geoff_Ryman,,1951,5,9,,,Canada,True,Aries,Taurus,Taurus,Gemini,3,9,Rabbit,6045,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
44,Geoff Kinrade,https://en.wikipedia.org/wiki/Geoff_Kinrade,,1985,7,29,,,Canada,True,Cancer,Leo,Sagittarius,Capricorn,5,11/2,Ox,753,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
45,Buddy Banks,https://en.wikipedia.org/wiki/Buddy_Banks,,1927,1,15,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,8,6,Tiger,123,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
46,Chad Silver,https://en.wikipedia.org/wiki/Chad_Silver,,1969,3,12,,,Canada,True,Pisces,Pisces,Sagittarius,Capricorn,4,3,Rooster,0,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
47,Christine Firkins,https://en.wikipedia.org/wiki/Christine_Firkins,,1983,7,6,,,Canada,True,Gemini,Cancer,Aries,Taurus,7,6,Pig,9717,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
48,Clara Furse,https://en.wikipedia.org/wiki/Clara_Furse,,1957,9,16,,,Canada,True,Virgo,Virgo,Taurus,Gemini,11/2,7,Rooster,3991,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
49,Colin A. Ross,https://en.wikipedia.org/wiki/Colin_A._Ross,,1950,7,14,,,Canada,True,Gemini,Cancer,Gemini,Cancer,9,5,Tiger,6765,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
50,Colin Francis MacKinnon,https://en.wikipedia.org/wiki/Colin_Francis_MacKinnon,,1811,7,29,,,Canada,True,Cancer,Leo,Libra,Scorpio,11/2,11/2,Goat,396,2025-12-10 19:08:48,2025-12-11 01:24:57,Yes,Yes,Yes
51,Will Osborne,https://en.wikipedia.org/wiki/Will_Osborne,,1905,11,25,,,Canada,True,Scorpio,Sagittarius,Libra,Scorpio,6,7,Snake,82,2025-12-10 19:08:48,2025-12-11 01:25:02,Yes,Yes,Yes
52,Bre Blair,https://en.wikipedia.org/wiki/Bre_Blair,,1980,4,29,,,Canada,True,Aries,Taurus,Virgo,Scorpio,33/6,11/2,Monkey,78052,2025-12-10 19:08:48,2025-12-11 01:25:02,Yes,Yes,Yes
53,Dallas Fallscheer,https://en.wikipedia.org/wiki/Dallas_Fallscheer,,1977,11,20,,,Canada,True,Libra,Scorpio,Pisces,Pisces,1,2,Snake,0,2025-12-10 19:08:48,2025-12-11 01:25:02,Yes,Yes,Yes
54,Nils Oliveto,https://en.wikipedia.org/wiki/Nils_Oliveto,,1974,12,8,,,Canada,True,Ophiuchus,Sagittarius,Virgo,Libra,5,8,Tiger,549,2025-12-10 19:08:48,2025-12-11 01:25:02,Yes,Yes,Yes
55,Shane Tarves,https://en.wikipedia.org/wiki/Shane_Tarves,,1954,4,10,,,Canada,True,Pisces,Aries,Gemini,Cancer,6,1,Horse,0,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
56,Frederick Broome,https://en.wikipedia.org/wiki/Frederick_Broome,,1842,11,18,,,Canada,True,Libra,Scorpio,Taurus,Taurus,8,9,Tiger,1558,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
57,Reece Thompson,https://en.wikipedia.org/wiki/Reece_Thompson,,1988,11,22,,,Canada,True,Libra,Sagittarius,Aries,Taurus,5,4,Dragon,45418,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
58,Robin Laycock,https://en.wikipedia.org/wiki/Robin_Laycock,,1957,8,23,,,Canada,True,Leo,Virgo,Cancer,Leo,8,5,Rooster,0,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
59,Paul Apak Angilirq,https://en.wikipedia.org/wiki/Paul_Apak_Angilirq,,1954,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,3,1,Snake,872,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
60,Ernest Mastromatteo,https://en.wikipedia.org/wiki/Ernest_Mastromatteo,,1923,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,8,1,Dog,0,2025-12-10 19:09:26,2025-12-11 01:25:02,Yes,Yes,Yes
61,Alan Thomas,https://en.wikipedia.org/wiki/Alan_Thomas,,1928,1,1,,,Canada,True,Sagittarius,Capricorn,Pisces,Aries,22/4,1,Rabbit,186,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
62,William H. T. Baillie,https://en.wikipedia.org/wiki/William_H._T._Baillie,,1888,1,1,,,Canada,True,Sagittarius,Capricorn,Cancer,Leo,9,1,Pig,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
63,L.E. Jones,https://en.wikipedia.org/wiki/L.E._Jones,,1910,1,1,,,Canada,True,Sagittarius,Capricorn,Leo,Virgo,4,1,Rooster,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
64,James Arnold Dauphinee,https://en.wikipedia.org/wiki/James_Arnold_Dauphinee,,1903,1,1,,,Canada,True,Sagittarius,Capricorn,Capricorn,Aquarius,6,1,Tiger,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
65,John Harkness Dales,https://en.wikipedia.org/wiki/John_Harkness_Dales,,1920,1,1,,,Canada,True,Sagittarius,Capricorn,Aries,Taurus,5,1,Goat,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
66,James E. Anderson,https://en.wikipedia.org/wiki/James_E._Anderson,,1926,1,1,,,Canada,True,Sagittarius,Capricorn,Cancer,Leo,2,1,Ox,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
67,Thomas F. McIlwraith (Jr.),https://en.wikipedia.org/wiki/Thomas_F._McIlwraith_(Jr.),,1941,1,1,,,Canada,True,Sagittarius,Capricorn,Aquarius,Aquarius,8,1,Dragon,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
68,Henry Harrison Madill,https://en.wikipedia.org/wiki/Henry_Harrison_Madill,,1889,1,1,,,Canada,True,Sagittarius,Capricorn,Sagittarius,Capricorn,1,1,Rat,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
69,Ernest Sirluck,https://en.wikipedia.org/wiki/Ernest_Sirluck,,1918,1,1,,,Canada,True,Sagittarius,Capricorn,Leo,Leo,3,1,Snake,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
70,David Lloyd MacIntosh,https://en.wikipedia.org/wiki/David_Lloyd_MacIntosh,,1914,1,1,,,Canada,True,Sagittarius,Capricorn,Aquarius,Pisces,8,1,Ox,0,2025-12-10 19:09:26,2025-12-11 01:25:07,Yes,Yes,Yes
71,Robert Allan Spencer,https://en.wikipedia.org/wiki/Robert_Allan_Spencer,,1920,11,9,,,Canada,True,Libra,Scorpio,Virgo,Scorpio,5,9,Monkey,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
72,Newton Price Harcourt Brown,https://en.wikipedia.org/wiki/Newton_Price_Harcourt_Brown,,1900,5,30,,,Canada,True,Taurus,Gemini,Gemini,Cancer,9,3,Rat,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
73,John Arthur Sawyer,https://en.wikipedia.org/wiki/John_Arthur_Sawyer,,1924,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Scorpio,9,1,Pig,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
74,Ian Macdonald Drummond,https://en.wikipedia.org/wiki/Ian_Macdonald_Drummond,,1933,1,1,,,Canada,True,Sagittarius,Capricorn,Aquarius,Pisces,9,1,Monkey,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
75,Arthur D'Orr LePan,https://en.wikipedia.org/wiki/Arthur_D'Orr_LePan,,1885,1,1,,,Canada,True,Sagittarius,Capricorn,Gemini,Cancer,6,1,Monkey,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
76,Keith McLeod,https://en.wikipedia.org/wiki/Keith_McLeod,,1935,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,2,1,Dog,4796,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
77,C. Roger Myers,https://en.wikipedia.org/wiki/C._Roger_Myers,,1906,1,1,,,Canada,True,Sagittarius,Capricorn,Pisces,Pisces,9,1,Snake,153,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
78,Joseph Cooper Evans,https://en.wikipedia.org/wiki/Joseph_Cooper_Evans,,1904,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,7,1,Rabbit,0,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
79,Isabelle Franca,https://en.wikipedia.org/wiki/Isabelle_Franca,,2008,11,12,,,Canada,True,Libra,Scorpio,Aries,Taurus,6,3,Rat,1,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
80,Henri Boivin,https://en.wikipedia.org/wiki/Henri_Boivin,,1891,7,20,,,Canada,True,Cancer,Cancer,Sagittarius,Capricorn,1,2,Rabbit,80,2025-12-10 19:09:26,2025-12-11 01:25:12,Yes,Yes,Yes
81,Justin Ashar,https://en.wikipedia.org/wiki/Justin_Ashar,,1987,1,10,,,Canada,True,Sagittarius,Capricorn,Taurus,Taurus,9,1,Tiger,0,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
82,Steve Wallis,https://en.wikipedia.org/wiki/Steve_Wallis,,1981,9,10,,,Canada,True,Leo,Virgo,Capricorn,Aquarius,11/2,1,Rooster,61318,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
83,Tammy Peterson,https://en.wikipedia.org/wiki/Tammy_Peterson,,1965,6,3,,,Canada,True,Taurus,Gemini,Cancer,Leo,3,3,Snake,492,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
84,Karolina Turek,https://en.wikipedia.org/wiki/Karolina_Turek,,1984,1,23,,,Canada,True,Capricorn,Aquarius,Virgo,Libra,1,5,Pig,0,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
85,Lane Styles,https://en.wikipedia.org/wiki/Lane_Styles,,2005,2,17,,,Canada,True,Aquarius,Aquarius,Taurus,Gemini,8,8,Rooster,0,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
86,Taylor Kare,https://en.wikipedia.org/wiki/Taylor_Kare,,1994,4,15,,,Canada,True,Pisces,Aries,Taurus,Gemini,33/6,6,Dog,0,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
87,Carmelo Rago,https://en.wikipedia.org/wiki/Carmelo_Rago,,1986,5,11,,,Canada,True,Aries,Taurus,Taurus,Gemini,4,2,Tiger,182,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
88,Niall Cousens,https://en.wikipedia.org/wiki/Niall_Cousens,,1991,2,25,,,Canada,True,Aquarius,Pisces,Gemini,Cancer,11/2,7,Goat,177,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
89,Despo Sophocleous,https://en.wikipedia.org/wiki/Despo_Sophocleous,,1977,8,4,,,Canada,True,Cancer,Leo,Pisces,Aries,9,4,Snake,0,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
90,Jonathan Augustus,https://en.wikipedia.org/wiki/Jonathan_Augustus,,1985,4,17,,,Canada,True,Pisces,Aries,Pisces,Pisces,8,8,Ox,155,2025-12-10 19:09:26,2025-12-11 01:25:17,Yes,Yes,Yes
91,Peter Paul Carr,https://en.wikipedia.org/wiki/Peter_Paul_Carr,,1958,12,22,,,Canada,True,Sagittarius,Capricorn,Aries,Taurus,3,4,Dog,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
92,George Felix,https://en.wikipedia.org/wiki/George_Felix,,1866,6,20,,,Canada,True,Gemini,Gemini,Virgo,Libra,11/2,2,Tiger,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
93,Douglas K. Adie,https://en.wikipedia.org/wiki/Douglas_K._Adie,,1940,5,2,,,Canada,True,Aries,Taurus,Aquarius,Pisces,3,2,Dragon,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
94,Aidan Wojtak-Hissong,https://en.wikipedia.org/wiki/Aidan_Wojtak-Hissong,,2007,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,11/2,1,Dog,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
95,Susan Thomson,https://en.wikipedia.org/wiki/Susan_Thomson,,1968,1,1,,,Canada,True,Sagittarius,Capricorn,Sagittarius,Capricorn,8,1,Goat,761,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
96,Samuel Newsom,https://en.wikipedia.org/wiki/Samuel_Newsom,,1848,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,5,1,Goat,2870,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
97,Linnaea Halpert,https://en.wikipedia.org/wiki/Linnaea_Halpert,,1997,4,10,,,Canada,True,Pisces,Aries,Taurus,Gemini,4,1,Ox,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
98,Herbert Frederick Moseley,https://en.wikipedia.org/wiki/Herbert_Frederick_Moseley,,1906,1,1,,,Canada,True,Sagittarius,Capricorn,Pisces,Pisces,9,1,Snake,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
99,John D. Mackay,https://en.wikipedia.org/wiki/John_D._Mackay,,1872,4,7,,,Canada,True,Pisces,Aries,Pisces,Aries,11/2,7,Monkey,487,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
100,Tonio Schibel,https://en.wikipedia.org/wiki/Tonio_Schibel,,1970,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Libra,1,1,Rooster,0,2025-12-10 19:09:26,2025-12-11 01:25:21,Yes,Yes,Yes
101,Samuel W. Lewis,https://en.wikipedia.org/wiki/Samuel_W._Lewis,,1845,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Libra,2,1,Dragon,3069,2025-12-10 19:09:26,2025-12-11 01:25:27,Yes,Yes,Yes
102,Francois Xavier Tetrault,https://en.wikipedia.org/wiki/Francois_Xavier_Tetrault,,1845,11,5,,,Canada,True,Libra,Scorpio,Sagittarius,Capricorn,7,5,Snake,0,2025-12-10 19:09:26,2025-12-11 01:25:27,Yes,Yes,Yes
103,Ron Laytner,https://en.wikipedia.org/wiki/Ron_Laytner,,1934,1,16,,,Canada,True,Sagittarius,Capricorn,Capricorn,Aquarius,7,7,Rooster,0,2025-12-10 19:09:26,2025-12-11 01:25:27,Yes,Yes,Yes
104,Ben Mazowita,https://en.wikipedia.org/wiki/Ben_Mazowita,,1988,3,31,,,Canada,True,Pisces,Aries,Leo,Virgo,33/6,4,Dragon,0,2025-12-10 19:09:26,2025-12-11 01:25:27,Yes,Yes,Yes
105,Eric Bell,https://en.wikipedia.org/wiki/Eric_Bell,,1985,1,1,,,Canada,True,Sagittarius,Capricorn,Aries,Taurus,7,1,Rat,69960,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
106,Thomas J. Hind,https://en.wikipedia.org/wiki/Thomas_J._Hind,,1864,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Libra,3,1,Pig,0,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
107,Lydia A. Trimble,https://en.wikipedia.org/wiki/Lydia_A._Trimble,,1863,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,2,1,Dog,0,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
108,Vic Ekberg,https://en.wikipedia.org/wiki/Vic_Ekberg,,1932,6,16,,,Canada,True,Taurus,Gemini,Libra,Scorpio,1,7,Monkey,178,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
109,Vic Stanfield,https://en.wikipedia.org/wiki/Vic_Stanfield,,1951,5,12,,,Canada,True,Taurus,Taurus,Cancer,Leo,6,3,Rabbit,526,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
110,Dave Padden,https://en.wikipedia.org/wiki/Dave_Padden,,1976,2,13,,,Canada,True,Capricorn,Aquarius,Gemini,Cancer,11/2,4,Dragon,6919,2025-12-10 19:10:06,2025-12-11 01:25:27,Yes,Yes,Yes
